Property,Prefixed Property,Link Dataset Count,Dataset Count,LOD-Dataset Count,Link Count,Triple Count,LOD Link Count,Category (Manual)
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdf:type,155,163,137,28333589,41881847,23184206,re-use
http://purl.org/linked-data/cube#dataSet,qb:dataSet,8,8,0,13111246,13067717,,re-use
http://purl.org/linked-data/sdmx/2009/dimension#refPeriod,sdmx:refPeriod,7,7,0,13109300,13065771,,re-use
http://purl.org/linked-data/sdmx/2009/dimension#refArea,sdmx:refArea,6,6,0,11448400,11445166,,re-use
http://worldbank.270a.info/property/indicator,wbp:indicator,1,1,0,11305461,11302227,,re-use
http://purl.org/vocab/frbr/core#exemplar,frbr:exemplar,2,2,0,3486498,3484137,,re-use
http://purl.org/vocab/frbr/core#owner,rfrbr:owner,1,2,0,3486497,3484135,,re-use
http://purl.org/dc/elements/1.1/subject,dc:subject,2,12,0,2275513,3142841,,re-use
http://www.w3.org/2002/07/owl#sameAs,owl:sameAs,48,50,1,2249708,2268896,3,reconciliation
http://xmlns.com/foaf/0.1/homepage,foaf:homepage,34,39,0,2244966,4217107,,re-use
http://stats.data-gov.ie/property/geoArea,sdgp:geoArea,1,1,0,1660900,1620605,,containment
http://purl.org/ontology/similarity/element,musim:element,1,1,0,1532834,1532834,,containment
http://purl.org/linked-data/sdmx/2009/dimension#sex,sdmx:sex,1,1,0,1455873,1455798,,re-use
http://stats.data-gov.ie/property/age2,sdgp:age2,1,1,0,1140672,1140672,,re-use
http://stats.data-gov.ie/property/maritalStatus,sdgp:martialStatus,1,1,0,1140672,1140672,,re-use
http://purl.org/dc/elements/1.1/language,dc:language,2,7,0,979907,998258,,re-use
http://purl.uniprot.org/core/rank,uniprot:rank,1,1,0,784090,784090,,re-use
http://purl.org/ontology/similarity/method,musim:method,1,1,0,766417,766417,,re-use
http://purl.org/dc/elements/1.1/creator,dc:creator,4,20,0,627823,647764,,re-use
http://purl.org/dc/terms/isPartOf,dct:isPartOf,35,39,0,548090,1736807,,containment
http://rhizomik.net/ontologies/2005/03/Mpeg7-2001.owl#MediaTime,,1,1,0,520579,520579,,re-use
http://www.w3.org/2000/01/rdf-schema#isDefinedBy,,21,24,1,426562,427265,1,re-use
http://semantic-mediawiki.org/swivt/1.0#page,,3,3,0,423140,422993,,re-use
http://purl.org/NET/c4dm/event.owl#place,,3,5,0,416865,425845,,re-use
http://purl.org/NET/c4dm/event.owl#time,,1,3,0,405660,411210,,re-use
http://purl.org/NET/scovo#dataset,,1,1,0,405660,405086,,re-use
http://purl.org/ontology/bibo/editor,,1,1,0,380524,377759,,re-use
http://www.w3.org/2004/02/skos/core#inScheme,,6,25,0,372477,9035414,,re-use
http://stats.data-gov.ie/property/age1,,1,1,0,315201,315126,,re-use
http://www.w3.org/2000/01/rdf-schema#seeAlso,,24,36,2,315026,316026,2,re-use
http://rdf.myexperiment.org/ontologies/components/belongs-to-workflow,,1,1,0,179029,179029,,re-use
http://purl.org/weso/pscs/ontology/relatedMatch,,9,9,0,151102,151102,,
http://lexvo.org/ontology#label,,1,1,0,139418,139465,,re-use
http://purl.org/science/owl/sciencecommons/from_species_described_by,,1,1,0,138822,138822,,re-use
http://purl.org/science/owl/sciencecommons/describes_gene_type,,1,1,0,122160,122160,,re-use
http://lexvo.org/ontology#represents,,1,1,0,121514,219752,,re-use
http://www4.wiwiss.fu-berlin.de/sider/resource/sider/sideEffect,,1,1,0,116135,68423,,re-use
http://www.w3.org/2004/02/skos/core#relatedMatch,,2,2,0,104998,104998,,reconciliation
http://stats.data-gov.ie/property/nationality,,1,1,0,80012,39952,,re-use
http://purl.org/dc/terms/hasPart,,5,6,1,79540,431387,8,containment
http://eprints.org/ontology/hasFile,,3,3,0,77838,77755,,re-use
http://core.kmi.open.ac.uk/data/hasOAIRepositoryIdentifier,,1,1,0,77296,77298,,re-use
http://www.w3.org/2004/02/skos/core#closeMatch,,10,10,0,74705,74708,,reconciliation
http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/generalReference,,1,1,0,72359,18939,,re-use
http://eprints.org/ontology/hasDocument,,3,3,0,67607,67566,,re-use
http://statistics.data.gov.uk/def/administrative-geography/district,,2,2,0,64964,64964,,containment
http://purl.org/dc/terms/creator,,17,32,0,53821,56364,,re-use
http://linkedscotland.org/def/geography#district,,1,1,0,50344,50344,,containment
http://linkedscotland.org/def/geography#intermediateGeography,,1,1,0,49109,49109,,containment
http://linkedscotland.org/def/geography#dataZone,,1,1,0,42604,42604,,containment
http://sw.opencyc.org/concept/wikipediaArticleURL,,1,1,0,41039,41039,,re-use
http://stats.data-gov.ie/property/ethnicGroup,,1,1,0,40016,39952,,re-use
http://xmlns.com/foaf/0.1/depiction,,9,10,0,39926,48023,,re-use
http://xmlns.com/foaf/0.1/primaryTopic,,12,14,1,37147,42111,7,re-use
http://www.w3.org/2004/02/skos/core#exactMatch,,9,9,0,35124,35124,,reconciliation
http://stats.data-gov.ie/property/birthplace,,1,1,0,35014,34958,,re-use
http://xmlns.com/foaf/0.1/primaryTopicOf,,2,2,0,34434,34434,,re-use
http://publishmydata.com/def/statistics#ageRange,,1,1,0,34378,34378,,re-use
http://xmlns.com/foaf/0.1/page,,11,13,0,30355,16412,,re-use
http://purl.org/NET/c4dm/event.owl#sub_event,,1,1,0,30062,30062,,containment
http://www.holygoat.co.uk/owl/redwood/0.1/tags/associatedTag,,1,1,0,29904,29904,,re-use
http://id.southampton.ac.uk/ns/inPublicationsListOf,,1,1,0,29526,29526,,re-use
http://www.w3.org/2000/10/swap/pim/contact#stateOrProvince,,1,1,0,28815,28815,,re-use
http://www4.wiwiss.fu-berlin.de/dailymed/resource/dailymed/inactiveIngredient,,1,1,0,28403,28367,,re-use
http://rdvocab.info/Elements/placeOfPublication,,1,1,0,25073,900950,,re-use
http://stats.data-gov.ie/property/religion,,1,1,0,24995,24975,,re-use
http://stats.data-gov.ie/property/usualResidence,,1,1,0,24990,24970,,re-use
http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/drugReference,,1,1,0,23782,13418,,re-use
http://purl.org/ontology/bibo/status,,2,2,0,20885,20880,,re-use
http://xmlns.com/foaf/0.1/isPrimaryTopicOf,,19,20,0,19232,33741,,re-use
http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/pfamDomainFunction,,1,1,0,19028,6882,,re-use
http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/pfamDomainFunctionPage,,1,1,0,19028,6882,,re-use
http://www.w3.org/1999/02/22-rdf-syntax-ns#_1,,3,4,0,18682,18693,,
http://purl.org/ontology/mo/performer,,2,2,0,18448,18448,,re-use
http://data.lod2.eu/scoreboard/properties/country,,1,1,0,18013,18013,,re-use
http://data.lod2.eu/scoreboard/properties/indicator,,1,1,0,18013,18013,,re-use
http://data.lod2.eu/scoreboard/properties/year,,1,1,0,18013,18013,,re-use
http://www.openarchives.org/ore/terms/proxyIn,,2,2,0,17675,17675,,re-use
http://www.openarchives.org/ore/terms/proxyFor,,2,2,0,17604,17675,,re-use
http://purl.org/ontology/bibo/authorList,,3,3,0,17097,16960,,re-use
http://purl.org/ontology/mo/performance_of,,1,1,0,16767,16767,,re-use
http://purl.org/dc/elements/1.1/contributor,,2,6,0,16327,2199873,,re-use
http://www.europeana.eu/schemas/edm/aggregatedCHO,,1,1,0,16322,16322,,re-use
http://rdfs.org/sioc/ns#avatar,,1,1,0,15339,15339,,re-use
http://www.holygoat.co.uk/owl/redwood/0.1/tags/tag,,1,2,0,15054,21897,,re-use
http://www.holygoat.co.uk/owl/redwood/0.1/tags/taggedBy,,1,1,0,15054,15054,,re-use
http://xmlns.com/foaf/0.1/maker,,2,2,0,14776,8682,,re-use
http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseasome/possibleDrug,,1,1,0,14325,14325,,re-use
http://www.w3.org/1999/02/22-rdf-syntax-ns#_2,,3,4,0,14274,14283,,
http://www.w3.org/2003/01/geo/wgs84_pos#location,,1,1,0,13324,13324,,re-use
http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/target,,1,1,0,12045,12045,,re-use
http://purl.org/ontology/mo/performed,,1,1,0,11864,11864,,re-use
http://idi.fundacionctic.org/cruzar/turismo#has-interest,,1,1,1,11131,11131,11131,re-use
http://www.w3.org/ns/sawsdl#modelReference,,1,1,1,10850,10958,244,re-use
http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/drugType,,1,1,0,10195,10195,,re-use
http://purl.org/dc/terms/isReferencedBy,,11,12,0,10168,10025,,re-use
http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/interactionDrug1,,1,1,0,10153,10096,,re-use
http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/interactionDrug2,,1,1,0,10153,10096,,re-use
http://www.w3.org/1999/02/22-rdf-syntax-ns#_3,,3,4,0,9830,9835,,
http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseasome/associatedGene,,1,1,0,9743,9743,,
http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseasome/bio2rdfSymbol,,1,1,0,9743,3919,,
http://rdfs.org/ns/void#inDataset,,11,11,0,9533,9533,,
http://www.openarchives.org/ore/terms/aggregates,,2,2,0,9421,9514,,
http://data.ordnancesurvey.co.uk/ontology/spatialrelations/within,,8,8,0,9242,9252,,
http://www.w3.org/TR/rdf-schema/#ch_type,,1,1,0,9143,9143,,
http://rdf.myexperiment.org/ontologies/base/annotates,,1,1,0,9038,9038,,
http://rdf.myexperiment.org/ontologies/base/has-annotator,,1,1,0,9038,9038,,
http://purl.org/ontology/mo/published_as,,2,2,0,8395,8395,,
http://rdf.myexperiment.org/ontologies/annotations/for-tagging,,1,1,0,8375,8375,,
http://rdf.myexperiment.org/ontologies/annotations/has-tagging,,1,1,0,8375,8375,,
http://rdf.myexperiment.org/ontologies/annotations/uses-tag,,1,1,0,8375,8375,,
http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/possibleDiseaseTarget,,1,1,0,8201,8201,,
http://www.europeana.eu/schemas/edm/isShownAt,,1,1,0,8161,8161,,
http://www.europeana.eu/schemas/edm/landingPage,,1,1,0,8161,8161,,
http://www.openarchives.org/ore/terms/describes,,1,2,0,8161,8898,,
http://www.openarchives.org/ore/terms/isDescribedBy,,1,3,0,8161,9095,,
http://www.w3.org/1999/xhtml/vocab#license,,1,1,0,8161,8161,,
http://www.europeana.eu/schemas/edm/hasView,,1,1,0,8020,8020,,
http://www.europeana.eu/schemas/edm/object,,1,1,0,8020,8020,,
http://purl.org/ontology/bibo/presentedAt,,1,1,0,7838,7838,,
http://linkedscotland.org/def/geography#communityHealthPartnership,,1,1,0,7740,7740,,
http://linkedscotland.org/def/geography#healthBoard,,1,1,0,7740,7740,,
http://purl.org/ontology/mo/recorded_as,,2,2,0,7710,7710,,
http://www.geneontology.org/formats/oboInOwl#inSubset,,1,1,0,7590,7590,,
http://dati.camera.it/ocd/rif_ufficioParlamentare,,1,1,0,7433,7433,,
http://www.w3.org/2004/02/skos/core#narrower,,2,16,0,7418,305235,,
http://www.w3.org/2000/10/swap/pim/contact#address,,1,1,0,7223,7223,,
http://www.w3.org/2004/02/skos/core#broader,,4,21,0,7105,772733,,
http://www.w3.org/2000/01/rdf-schema#subClassOf,rdfs:subClassOf,35,37,30,7097,1016251,2557,
http://www4.wiwiss.fu-berlin.de/medicare/resource/medicare/drugType,,1,1,0,6819,6819,,
http://rdfs.org/sioc/ns#has_owner,,1,1,0,6724,6724,,
http://xmlns.com/foaf/0.1/based_near,,5,6,0,6641,1354,,
http://xmlns.com/foaf/0.1/img,,2,3,0,6604,505591,,
http://purl.org/NET/c4dm/timeline.owl#onTimeLine,,1,1,0,6584,6584,,
http://purl.org/ontology/mo/available_as,,1,1,0,6584,6584,,
http://purl.org/ontology/mo/publishing_location,,1,1,0,6584,490,,
http://purl.org/ontology/mo/time,,1,1,0,6584,6584,,
http://purl.org/ontology/mo/track,,1,1,0,6584,6584,,
http://id.loc.gov/vocabulary/relators/hnr,,1,1,0,6342,6306,,
http://creativecommons.org/ns#license,,6,8,0,6176,6179,,
http://www4.wiwiss.fu-berlin.de/dailymed/resource/dailymed/possibleDiseaseTarget,,1,1,0,6124,6124,,
http://www.w3.org/2002/07/owl#sameas,,1,1,0,6044,6044,,
http://www.w3.org/1999/02/22-rdf-syntax-ns#_4,,3,4,0,5789,5792,,
http://ibl.mdanderson.org/TCGA/R75354,,1,1,0,5179,5179,,
http://rdf.myexperiment.org/ontologies/snarm/has-access,,1,1,0,5135,15413,,
http://purl.org/dc/terms/publisher,dct:publischer,36,41,0,5108,3212471,,
http://data.nytimes.com/elements/mapping_strategy,,1,1,0,4979,4979,,
http://data.nytimes.com/elements/search_api_query,,1,1,0,4979,4979,,
http://rdf.myexperiment.org/ontologies/base/has-policy,,1,1,0,4955,4955,,
http://rdf.myexperiment.org/ontologies/base/content-url,,1,1,0,4758,4758,,
http://rdf.myexperiment.org/ontologies/base/has-content-type,,1,1,0,4758,4758,,
http://rdf.myexperiment.org/ontologies/base/has-license,,1,1,0,4758,4758,,
http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/swissprotId,,1,1,0,4660,4660,,
http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/swissprotPage,,1,1,0,4660,4660,,
http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/drugCategory,,1,1,0,4602,4602,,
http://data.nytimes.com/elements/topicPage,,1,1,0,4480,4480,,
http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/genbankIdGenePage,,1,1,0,4310,4310,,
http://www4.wiwiss.fu-berlin.de/dailymed/resource/dailymed/routeOfAdministration,,1,1,0,4308,4308,,
http://rdf.myexperiment.org/ontologies/contributions/preview,,1,1,0,4295,4295,,
http://rdf.myexperiment.org/ontologies/contributions/svg,,1,1,0,4295,4295,,
http://rdf.myexperiment.org/ontologies/contributions/thumbnail,,1,1,0,4295,4295,,
http://rdf.myexperiment.org/ontologies/contributions/thumbnail-big,,1,1,0,4295,4295,,
http://www4.wiwiss.fu-berlin.de/dailymed/resource/dailymed/activeIngredient,,1,1,0,4284,4284,,
http://www4.wiwiss.fu-berlin.de/dailymed/resource/dailymed/producesDrug,,1,1,0,4271,4271,,
http://www4.wiwiss.fu-berlin.de/dailymed/resource/dailymed/representedOrganization,,1,1,0,4271,4271,,
http://www4.wiwiss.fu-berlin.de/dailymed/resource/dailymed/activeMoiety,,1,1,0,4269,4269,,
http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseasome/class,,1,1,0,4213,4213,,
http://rdf.myexperiment.org/ontologies/components/processor-uri,,1,1,0,4132,4146,,
http://purl.org/ontology/mo/produced_signal,,1,1,0,3976,3976,,
http://purl.org/ontology/mo/produced_sound,,1,1,0,3976,3976,,
http://purl.org/ontology/mo/recording_of,,1,1,0,3976,3976,,
http://purl.org/ontology/mo/engineer,,1,1,0,3801,3801,,
http://purl.org/ontology/mo/engineered,,1,1,0,3801,3801,,
http://www.loc.gov/loc.terms/relators/EDT,,1,1,0,3755,3755,,
http://rdf.myexperiment.org/ontologies/base/last-edited-by,,1,1,0,3730,3730,,
http://purl.org/ontology/mo/produced,,1,1,0,3640,3640,,
http://purl.org/ontology/mo/producer,,1,1,0,3640,3640,,
http://rdf.myexperiment.org/ontologies/components/executes-dataflow,,1,1,0,3591,5782,,
http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/pdbId,,1,1,0,3379,3379,,
http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/pdbIdPage,,1,1,0,3379,3379,,
http://purl.org/science/owl/sciencecommons/availability_described_by,,1,1,0,3322,3275,,
http://purl.org/science/owl/sciencecommons/is_described_in,,1,1,0,3322,3275,,
http://id.southampton.ac.uk/ns/busStoppingAt,,1,1,0,3294,3294,,
http://id.southampton.ac.uk/ns/inBusRoute,,1,1,0,3294,3294,,
http://vocab.org/transit/terms/route,,1,1,0,3294,3294,,
http://vocab.org/transit/terms/routeStop,,1,1,0,3294,3294,,
http://vocab.org/transit/terms/stop,,1,1,0,3294,3294,,
http://www.w3.org/1999/02/22-rdf-syntax-ns#_5,,3,4,0,3198,3201,,
http://id.southampton.ac.uk/ns/producedByDivision,,1,1,0,3044,3044,,
http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseasome/chromosomalLocation,,1,1,0,2929,2929,,
http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseasome/omim,,1,1,0,2929,2929,,
http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseasome/omimPage,,1,1,0,2929,2929,,
http://rdf.myexperiment.org/ontologies/base/has-accepter,,1,1,0,2915,2915,,
http://rdf.myexperiment.org/ontologies/base/has-requester,,1,1,0,2915,2915,,
http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/genbankIdProteinPage,,1,1,0,2859,2859,,
http://rdf.myexperiment.org/ontologies/base/has-friendship,,1,1,0,2581,2581,,
http://enipedia.tudelft.nl/wiki/Property:Reference,,1,1,0,2541,2819,,
http://www.w3.org/2006/vcard/ns#url,,3,3,0,2485,43847,,
http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/dosageForm,,1,1,0,2482,2432,,
http://purl.org/dc/terms/isVersionOf,,2,3,0,2428,2578,,
http://dbpedia.org/ontology/residence,,1,1,0,2301,2297,,
http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/casRegistryNumber,,1,1,0,2240,2240,,
http://purl.org/dc/elements/1.1/hasVersion,,1,1,0,2219,2219,,
http://rdf.myexperiment.org/ontologies/attrib_credit/credits,,1,1,0,2207,2207,,
http://rdf.myexperiment.org/ontologies/attrib_credit/has-creditable,,1,1,0,2207,2207,,
http://ibl.mdanderson.org/TCGA/R191,,1,1,0,2149,2149,,
http://purl.org/openorg/hasFeature,,2,2,0,2045,2045,,
